manufacturer,model,year,gas,km,expenses,last_bid
 TOYOTA,"COROLLA XEI20FLEX
      "," 2010/2011
  ", ALC/GAS   ," 138.150   
  "," R$ 1.500,00","R$ 32.500,00"
 CHEVROLET,"CAPTIVA SPORT V6FWD
      "," 2011/2011
  ", GASOLINA   ," 88.300   
  "," R$ 1.500,00",
 CHEVROLET,"S10 EXECUTIVE D
      "," 2010/2011
  ", ALC/GAS   ," 144.650   
  "," R$ 1.500,00",
 HONDA,"CIVIC EXS
      "," 2012/2012
  ", ALC/GAS   ," 113.050   
  "," R$ 1.500,00",
 FORD,"FUSION 
      "," 2010/2011
  ", GASOLINA   ," 122.650   
  "," R$ 1.500,00",
 HONDA,"FIT EX FLEX
      "," 2010/2010
  ", ALC/GAS   ," 124.050   
  "," R$ 1.500,00",
 CHEVROLET,"TRACKER 12T A PR
      "," 2022/2022
  ", ALC/GAS   ," 28.800   
  "," R$ 2.919,50",
 CHEVROLET,"ONIX 10TAT PR1
      "," 2021/2022
  ", ALC/GAS   ," 49.850   
  "," R$ 2.919,50",
 CHEVROLET,"ONIX PLUS 10TAT PR2
      "," 2021/2022
  ", ALC/GAS   ," 32.500   
  "," R$ 3.074,73","R$ 72.000,00"
 RENAULT,"FLUENCE DYN PL
      "," 2015/2016
  ", ALC/GAS   ," 98.000   
  "," R$ 3.074,73",
 CHEVROLET,"ONIX 10TAT PR2
      "," 2019/2020
  ", ALC/GAS   ," 189.250   
  "," R$ 2.919,50",
 CHEVROLET,"ONIX 10MT HB
      "," 2021/2022
  ", ALC/GAS   ," 41.300   
  "," R$ 3.074,73",
 CHEVROLET,"TRACKER T A LT
      "," 2022/2023
  ", ALC/GAS   ," 9.800   
  "," R$ 3.074,73",
 CHEVROLET,"ONIX 10MT LT1
      "," 2021/2021
  ", ALC/GAS   ," 69.800   
  "," R$ 3.074,73",
 CHEVROLET,"ONIX PLUS 10TMT LTZ
      "," 2022/2022
  ", ALC/GAS   ," 46.950   
  "," R$ 3.074,73",
 CHEVROLET,"TRACKER T A LTZ
      "," 2022/2023
  ", ALC/GAS   ," 18.600   
  "," R$ 2.919,50",
 HONDA,"HR-V EX CVT
      "," 2016/2016
  ", ALC/GAS   ," 105.200   
  "," R$ 1.550,00","R$ 60.000,00"
 JEEP,"RENEGADE LNGTD AT
      "," 2017/2017
  ", ALC/GAS   ," 77.250   
  "," R$ 1.550,00","R$ 53.500,00"
 HYUNDAI,"HB20 1.6A COMF
      "," 2014/2014
  ", ALC/GAS   ," 64.800   
  "," R$ 1.550,00",
 HYUNDAI,"CRETA 16A PULSE
      "," 2018/2019
  ", ALC/GAS   ," 145.800   
  "," R$ 1.550,00",
 CHEVROLET,"PRISMA 1.4AT LT
      "," 2015/2016
  ", ALC/GAS   ," 71.400   
  "," R$ 1.550,00",
 HYUNDAI,"HB20 1.0M COMFOR
      "," 2014/2014
  ", ALC/GAS   ," 101.650   
  "," R$ 1.550,00",
 RENAULT,"SANDERO STEPWAY
      "," 2014/2014
  ", ALC/GAS   ," 161.500   
  "," R$ 1.550,00",
